investment_id,capex_meuro,uncertainty_pct,opex_meuro_per_year,project_url
997,197.0,10.0,1.576,https://tyndp-data.netlify.app/tyndp2018/projects/projects/187
1382,1613.0,"Costs are based on feedback from the supply chain; CAPEX same as previous input to ENTSO-E, and OPEX adjusted from 30 to 10,",10.0,https://tyndp-data.netlify.app/tyndp2018/projects/projects/190
952,1228.0,,42.0,https://tyndp-data.netlify.app/tyndp2018/projects/projects/191
953,1178.0,,40.0,https://tyndp-data.netlify.app/tyndp2018/projects/projects/191
656,1318.0,,45.0,https://tyndp-data.netlify.app/tyndp2018/projects/projects/191
1513,1290.0,,44.0,https://tyndp-data.netlify.app/tyndp2018/projects/projects/191
659,1408.0,,48.0,https://tyndp-data.netlify.app/tyndp2018/projects/projects/192
954,1518.0,,52.0,https://tyndp-data.netlify.app/tyndp2018/projects/projects/192
927,67.62,10%,1.0143,https://tyndp-data.netlify.app/tyndp2018/projects/projects/193
561,3.1,10%,0.0465,https://tyndp-data.netlify.app/tyndp2018/projects/projects/194
929,20.2,10%,0.303,https://tyndp-data.netlify.app/tyndp2018/projects/projects/194
742,90.0,+-10 %,0.242,https://tyndp-data.netlify.app/tyndp2018/projects/projects/197
306,19.93,"-10%, +15%",0.066,https://tyndp-data.netlify.app/tyndp2018/projects/projects/200
309,98.67,"-10%, +15%",0.0052,https://tyndp-data.netlify.app/tyndp2018/projects/projects/200
308,93.38,"-10%, +15%",0.0588,https://tyndp-data.netlify.app/tyndp2018/projects/projects/200
312,14.89,"-10%, +15%",0.0704,https://tyndp-data.netlify.app/tyndp2018/projects/projects/200
314,32.71,"-10%, +15%",0.0012,https://tyndp-data.netlify.app/tyndp2018/projects/projects/200
538,50.76,10%,0.7614,https://tyndp-data.netlify.app/tyndp2018/projects/projects/203
687,340.0,+-10%,2.7,https://tyndp-data.netlify.app/tyndp2018/projects/projects/206
990,150.0,+-10%,1.2,https://tyndp-data.netlify.app/tyndp2018/projects/projects/206
688,330.0,+-10%,2.6,https://tyndp-data.netlify.app/tyndp2018/projects/projects/206
682,10.0,+-10%,0.1,https://tyndp-data.netlify.app/tyndp2018/projects/projects/206
676,180.0,+-10%,1.4,https://tyndp-data.netlify.app/tyndp2018/projects/projects/207
939,220.0,+-10%,1.8,https://tyndp-data.netlify.app/tyndp2018/projects/projects/207
940,80.0,+-10%,0.6,https://tyndp-data.netlify.app/tyndp2018/projects/projects/207
150,140.0,+-10%,1.1,https://tyndp-data.netlify.app/tyndp2018/projects/projects/208
151,330.0,+-10%,2.6,https://tyndp-data.netlify.app/tyndp2018/projects/projects/208
156,540.0,+-10%,4.3,https://tyndp-data.netlify.app/tyndp2018/projects/projects/208
935,320.0,+-10%,2.6,https://tyndp-data.netlify.app/tyndp2018/projects/projects/209
1380,92.0,7%,1.6,https://tyndp-data.netlify.app/tyndp2018/projects/projects/210
1082,1800.0,,21.0,https://tyndp-data.netlify.app/tyndp2018/projects/projects/214
1409,1922.0,,17.8,https://tyndp-data.netlify.app/tyndp2018/projects/projects/219
1407,1922.0,,17.8,https://tyndp-data.netlify.app/tyndp2018/projects/projects/219
1410,1922.0,,17.8,https://tyndp-data.netlify.app/tyndp2018/projects/projects/219
