"Time","Starting_State","Event_Type","Variable_Analyzed","Level_Value","Prob_Event","Lower_Event","Upper_Event"
6,"1","success","Inv_Technology","DC",0.265833062380692,0.121246597255744,0.386629866114808
8,"1","success","Inv_Technology","DC",0.272151120823921,0.124361695008485,0.394996783605752
10,"1","success","Inv_Technology","DC",0.285332621323035,0.129355725943479,0.413366081459065
14,"1","success","Inv_Technology","DC",0.285332621323035,0.129355725943479,0.413366081459065
1,"1","cancelled","Inv_Technology","AC",0.0122437832227211,0.00313174274295047,0.0212725335775424
2,"1","cancelled","Inv_Technology","AC",0.126286608811329,0.0836465786392863,0.166942500406825
4,"1","cancelled","Inv_Technology","AC",0.181806648028609,0.124509786692413,0.235353689813337
5,"1","cancelled","Inv_Technology","AC",0.187898156769792,0.129092520979806,0.242733103498117
6,"1","cancelled","Inv_Technology","AC",0.275020030667989,0.19696104610734,0.345491332164071
8,"1","cancelled","Inv_Technology","AC",0.28615661235535,0.205466420718558,0.358652176104583
10,"1","cancelled","Inv_Technology","AC",0.28615661235535,0.205466420718558,0.358652176104583
14,"1","cancelled","Inv_Technology","AC",0.309279183701171,0.213513812643675,0.39338382067177
1,"1","cancelled","Inv_Technology","DC",0.0160271809621821,0.00383111588749707,0.0280739299864684
2,"1","cancelled","Inv_Technology","DC",0.16226892852829,0.101702668425948,0.218751605462955
4,"1","cancelled","Inv_Technology","DC",0.231384088556076,0.148571524077158,0.306142047123274
5,"1","cancelled","Inv_Technology","DC",0.238880378719282,0.153717687607231,0.315473017200858
6,"1","cancelled","Inv_Technology","DC",0.344133225348466,0.229062091280855,0.442028701369108
8,"1","cancelled","Inv_Technology","DC",0.357314892919322,0.238311714770916,0.45772548314948
10,"1","cancelled","Inv_Technology","DC",0.357314892919322,0.238311714770916,0.45772548314948
14,"1","cancelled","Inv_Technology","DC",0.384478724651742,0.247270171985097,0.496676727418266
1,"2","success","Inv_Technology","AC",0.0245329092397848,0.0052664997829629,0.0434261589173524
2,"2","success","Inv_Technology","AC",0.10840878377732,0.0513357108472968,0.162048254651357
3,"2","success","Inv_Technology","AC",0.169622734258601,0.0855233369855395,0.245987971757286
4,"2","success","Inv_Technology","AC",0.226973785057962,0.119492200549046,0.321335336995047
5,"2","success","Inv_Technology","AC",0.24778773893936,0.131261734809221,0.348683823008876
6,"2","success","Inv_Technology","AC",0.285975499472042,0.153426876959079,0.397770879468901
8,"2","success","Inv_Technology","AC",0.325934469409281,0.175652634893745,0.448819322092475
10,"2","success","Inv_Technology","AC",0.347269295963551,0.186991264640937,0.47594982260092
12,"2","success","Inv_Technology","AC",0.347269295963551,0.186991264640937,0.47594982260092
1,"2","success","Inv_Technology","DC",0.034296363936459,0.00460529606216198,0.0631017936734134
2,"2","success","Inv_Technology","DC",0.148894231104012,0.0549196263587078,0.233524417550785
3,"2","success","Inv_Technology","DC",0.22983638279496,0.0919151519327399,0.34680993903951
4,"2","success","Inv_Technology","DC",0.303511012459963,0.128899671465657,0.443121654447384
5,"2","success","Inv_Technology","DC",0.329714551822975,0.141642006563585,0.476579020090227
6,"2","success","Inv_Technology","DC",0.377027722863931,0.165114278925581,0.535152598393157
8,"2","success","Inv_Technology","DC",0.425449006567247,0.187882464608639,0.593520851762568
10,"2","success","Inv_Technology","DC",0.450834048749561,0.19942752078886,0.623290520416127
12,"2","success","Inv_Technology","DC",0.450834048749561,0.19942752078886,0.623290520416127
1,"2","cancelled","Inv_Technology","AC",0.00314368852693681,0,0.0076911976076891
2,"2","cancelled","Inv_Technology","AC",0.0520453719853395,0.0235864303292895,0.0796748379096506
3,"2","cancelled","Inv_Technology","AC",0.0638656351827223,0.0298980010440244,0.0966439096765352
4,"2","cancelled","Inv_Technology","AC",0.111444762762819,0.0566911076438262,0.163020283155019
5,"2","cancelled","Inv_Technology","AC",0.117832744064606,0.0601812480545255,0.171947712435373
6,"2","cancelled","Inv_Technology","AC",0.137973492165332,0.0715024816164485,0.199685852146057
7,"2","cancelled","Inv_Technology","AC",0.154676064325933,0.0801256423289541,0.223184611828226
8,"2","cancelled","Inv_Technology","AC",0.183564448105573,0.0956708252204312,0.262915507995599
9,"2","cancelled","Inv_Technology","AC",0.191391227840193,0.0995751486321679,0.273844846218392
10,"2","cancelled","Inv_Technology","AC",0.207218118741728,0.10764683537331,0.295678957428996
12,"2","cancelled","Inv_Technology","AC",0.207218118741728,0.10764683537331,0.295678957428996
1,"2","cancelled","Inv_Technology","DC",0.00186972150262144,0,0.00476366884712853
2,"2","cancelled","Inv_Technology","DC",0.03126919214053,0.0068996307554422,0.0550407520138942
3,"2","cancelled","Inv_Technology","DC",0.038467099617353,0.00885786435167613,0.0671917929172655
4,"2","cancelled","Inv_Technology","DC",0.0678209623807768,0.0173805773319314,0.115672112589375
5,"2","cancelled","Inv_Technology","DC",0.0718100505604322,0.0185133014880106,0.122212676395122
6,"2","cancelled","Inv_Technology","DC",0.0844646893514142,0.0222451753053527,0.142724859162752
7,"2","cancelled","Inv_Technology","DC",0.0950503249945881,0.0250500397434341,0.160024670315498
8,"2","cancelled","Inv_Technology","DC",0.113561469878206,0.0302462147234385,0.189718792940422
9,"2","cancelled","Inv_Technology","DC",0.118622249160938,0.0315408163538572,0.197873536859389
10,"2","cancelled","Inv_Technology","DC",0.128917002813151,0.0342464897056929,0.214307191327951
12,"2","cancelled","Inv_Technology","DC",0.128917002813151,0.0342464897056929,0.214307191327951
1,"3","success","Inv_Technology","AC",0.0258012808972047,0.00155497615554334,0.0494587867770501
2,"3","success","Inv_Technology","AC",0.177635936256539,0.0961445349458371,0.251780091525881
3,"3","success","Inv_Technology","AC",0.22434065298332,0.127006211344355,0.310822791143977
4,"3","success","Inv_Technology","AC",0.379013677583005,0.237460163679235,0.494290010487045
5,"3","success","Inv_Technology","AC",0.431900824030212,0.276405856728457,0.553981086305672
6,"3","success","Inv_Technology","AC",0.485242105242827,0.317242060040625,0.611903905166444
7,"3","success","Inv_Technology","AC",0.501137001393378,0.329606049459746,0.628779031824143
8,"3","success","Inv_Technology","AC",0.556146636710309,0.373786010300984,0.68540177743672
9,"3","success","Inv_Technology","AC",0.566490932656383,0.381486794424985,0.696158287688588
10,"3","success","Inv_Technology","AC",0.606865112373178,0.412617211061033,0.73687509613869
11,"3","success","Inv_Technology","AC",0.617378681870316,0.420852928238348,0.747216069586643
12,"3","success","Inv_Technology","AC",0.676148289580976,0.467497869067095,0.8030431725079
13,"3","success","Inv_Technology","AC",0.676148289580976,0.467497869067095,0.8030431725079
14,"3","success","Inv_Technology","AC",0.703545172454434,0.482544554298695,0.830158392369491
16,"3","success","Inv_Technology","AC",0.740983921903428,0.498490783551448,0.866225133034196
1,"3","success","Inv_Technology","DC",0.0237020656693254,0,0.04873209615052
2,"3","success","Inv_Technology","DC",0.164285068568848,0.048879282507482,0.265687905045062
3,"3","success","Inv_Technology","DC",0.207943686383373,0.0660793979028462,0.328258523763995
4,"3","success","Inv_Technology","DC",0.354166338110607,0.130251256937257,0.520434927723289
5,"3","success","Inv_Technology","DC",0.404823080065278,0.154316039201562,0.581125358356641
6,"3","success","Inv_Technology","DC",0.456310379803417,0.180142276530628,0.639451584527827
7,"3","success","Inv_Technology","DC",0.471736020944758,0.187925474188661,0.656358101753694
8,"3","success","Inv_Technology","DC",0.525443913398837,0.216182401746804,0.712683818490303
9,"3","success","Inv_Technology","DC",0.535602856225088,0.221046570575187,0.723135300520411
10,"3","success","Inv_Technology","DC",0.575449823992842,0.241004420637804,0.762524503635223
11,"3","success","Inv_Technology","DC",0.585880193734404,0.246353810043968,0.772445988280708
12,"3","success","Inv_Technology","DC",0.644641508931428,0.277509751067468,0.825216108644915
13,"3","success","Inv_Technology","DC",0.644641508931428,0.277509751067468,0.825216108644915
14,"3","success","Inv_Technology","DC",0.672327452011579,0.286040526117978,0.849614295162408
16,"3","success","Inv_Technology","DC",0.710508187385005,0.293597932477088,0.881362876152118
1,"3","cancelled","Inv_Technology","AC",0.00256439576721956,0,0.00650633781870991
2,"3","cancelled","Inv_Technology","AC",0.0213635789034987,0.0035490269584143,0.0388596422630028
4,"3","cancelled","Inv_Technology","AC",0.0354896052748458,0.00753123764783392,0.0626603709641256
5,"3","cancelled","Inv_Technology","AC",0.0463416625112415,0.0105370075073012,0.0808506921813614
6,"3","cancelled","Inv_Technology","AC",0.0704514195356087,0.0176671939265829,0.120399361498279
7,"3","cancelled","Inv_Technology","AC",0.0772449746725372,0.019737071708227,0.131379130851262
8,"3","cancelled","Inv_Technology","AC",0.0842216651162214,0.0218895704978509,0.142581519073084
10,"3","cancelled","Inv_Technology","AC",0.0933070871449012,0.0245192032188551,0.157244262588897
11,"3","cancelled","Inv_Technology","AC",0.0933070871449012,0.0245192032188551,0.157244262588897
12,"3","cancelled","Inv_Technology","AC",0.0933070871449012,0.0245192032188551,0.157244262588897
13,"3","cancelled","Inv_Technology","AC",0.0933070871449012,0.0245192032188551,0.157244262588897
14,"3","cancelled","Inv_Technology","AC",0.0933070871449012,0.0245192032188551,0.157244262588897
16,"3","cancelled","Inv_Technology","AC",0.0933070871449012,0.0245192032188551,0.157244262588897
1,"3","cancelled","Inv_Technology","DC",0.00166565871577284,0,0.00458993704250266
2,"3","cancelled","Inv_Technology","DC",0.0139225702085175,0,0.0302378489114556
4,"3","cancelled","Inv_Technology","DC",0.0231870351123669,0,0.0493450000097245
5,"3","cancelled","Inv_Technology","DC",0.0303366482028055,0,0.0639471063464142
6,"3","cancelled","Inv_Technology","DC",0.0463237580500891,0,0.0960227733819854
7,"3","cancelled","Inv_Technology","DC",0.0508547113200911,0,0.105001439873002
8,"3","cancelled","Inv_Technology","DC",0.0555200014462981,0,0.114190536432508
10,"3","cancelled","Inv_Technology","DC",0.061614126369999,0,0.126230887060765
11,"3","cancelled","Inv_Technology","DC",0.061614126369999,0,0.126230887060765
12,"3","cancelled","Inv_Technology","DC",0.061614126369999,0,0.126230887060765
13,"3","cancelled","Inv_Technology","DC",0.061614126369999,0,0.126230887060765
14,"3","cancelled","Inv_Technology","DC",0.061614126369999,0,0.126230887060765
16,"3","cancelled","Inv_Technology","DC",0.061614126369999,0,0.126230887060765
1,"4","success","Inv_Technology","AC",0.0533279873392665,0.0121457597163224,0.0927933869092167
2,"4","success","Inv_Technology","AC",0.447418275468463,0.320097852050481,0.550896311760264
3,"4","success","Inv_Technology","AC",0.536200453955129,0.395024712608149,0.644431725734115
4,"4","success","Inv_Technology","AC",0.711719633489931,0.559324728205202,0.811413131086969
5,"4","success","Inv_Technology","AC",0.75632591606196,0.602706640498091,0.85054605680426
6,"4","success","Inv_Technology","AC",0.822077577001011,0.671880803144031,0.903521680812455
7,"4","success","Inv_Technology","AC",0.849162135611656,0.700049667319407,0.924147237544609
8,"4","success","Inv_Technology","AC",0.862371438202288,0.714643651455641,0.933621168342213
10,"4","success","Inv_Technology","AC",0.913836540748125,0.750644444826254,0.970226684121489
1,"4","success","Inv_Technology","DC",0.0530390407096735,0.00393241261526345,0.0997246875841904
2,"4","success","Inv_Technology","DC",0.445590039987354,0.202073732829225,0.614788463035471
3,"4","success","Inv_Technology","DC",0.534211874821273,0.255566616166064,0.708558774674846
4,"4","success","Inv_Technology","DC",0.709715951060469,0.384046330937225,0.863196156949687
5,"4","success","Inv_Technology","DC",0.754402471157222,0.421737119915816,0.895690786576344
6,"4","success","Inv_Technology","DC",0.82035882166181,0.484661103510506,0.937379163159303
7,"4","success","Inv_Technology","DC",0.847564902888539,0.510675512853255,0.952513190241362
8,"4","success","Inv_Technology","DC",0.860843078920895,0.524617875707247,0.959265088663092
10,"4","success","Inv_Technology","DC",0.912652204104334,0.559211805738785,0.982690921519306
2,"4","cancelled","Inv_Technology","AC",0.0283950748284386,0,0.0646720685132927
4,"4","cancelled","Inv_Technology","AC",0.0347641906053755,0,0.0782639433464528
6,"4","cancelled","Inv_Technology","AC",0.0347641906053755,0,0.0782639433464528
8,"4","cancelled","Inv_Technology","AC",0.0399395051048363,0,0.0895605213846994
10,"4","cancelled","Inv_Technology","AC",0.0399395051048363,0,0.0895605213846994
2,"4","cancelled","Inv_Technology","DC",0.110731159907793,0,0.24049454786436
4,"4","cancelled","Inv_Technology","DC",0.134241861383945,0,0.28544898740563
6,"4","cancelled","Inv_Technology","DC",0.134241861383945,0,0.28544898740563
8,"4","cancelled","Inv_Technology","DC",0.152997869308863,0,0.321039652334668
10,"4","cancelled","Inv_Technology","DC",0.152997869308863,0,0.321039652334668
0.0999999999999091,"1","success","Covid19","0",0.0421478330174462,0,0.100793254734554
1,"1","success","Covid19","0",0.363451194748148,0.146313694305149,0.525359164409045
2,"1","success","Covid19","0",0.779699056635868,0.488782807976236,0.905064801410532
3,"1","success","Covid19","0",0.815074230261325,0.526765596681359,0.927736571826509
4,"1","success","Covid19","0",0.904791319614715,0.648743425486719,0.974193528382301
5,"1","success","Covid19","0",0.914223967503161,0.664872042814872,0.978045616329066
6,"1","success","Covid19","0",0.926928513265043,0.688396295842936,0.982864638313267
8,"1","success","Covid19","0",0.932084651025095,0.698066800103416,0.984723459930995
10,"1","success","Covid19","0",0.9418209125683,0.713001161804869,0.988206202381614
14,"1","success","Covid19","0",0.9418209125683,0.713001161804869,0.988206202381614
0.0999999999999091,"1","success","Covid19","1",0.013303580815337,0,0.0317680826426689
1,"1","success","Covid19","1",0.13106207061483,0.0666804655147301,0.191002548188814
2,"1","success","Covid19","1",0.375304534326418,0.258270627721927,0.473872224266143
3,"1","success","Covid19","1",0.40840384493863,0.284532800829828,0.510828712917483
4,"1","success","Covid19","1",0.518769356106009,0.377253624780378,0.628126406129697
5,"1","success","Covid19","1",0.534134006793881,0.390674060903367,0.643817684919689
6,"1","success","Covid19","1",0.556790789855255,0.410845308142078,0.666582636662596
8,"1","success","Covid19","1",0.566763814197395,0.419356604946931,0.67674894042042
10,"1","success","Covid19","1",0.587119656679921,0.43265027695897,0.699532455949083
14,"1","success","Covid19","1",0.587119656679921,0.43265027695897,0.699532455949083
1,"1","cancelled","Covid19","0",0.0192296432484885,0.00373438196443565,0.0344839014125758
2,"1","cancelled","Covid19","0",0.191668022741282,0.105730052627829,0.269347485757496
4,"1","cancelled","Covid19","0",0.271131099459993,0.155849294024796,0.370669395388739
5,"1","cancelled","Covid19","0",0.279665591550556,0.161413212347981,0.381242743581686
6,"1","cancelled","Covid19","0",0.39764118091757,0.243795316388569,0.520187913682878
8,"1","cancelled","Covid19","0",0.412160413420103,0.254243948030175,0.536637512176159
10,"1","cancelled","Covid19","0",0.412160413420103,0.254243948030175,0.536637512176159
14,"1","cancelled","Covid19","0",0.441890379466309,0.265807854703347,0.575742739107617
1,"1","cancelled","Covid19","1",0.0122437832227211,0.00313174274295047,0.0212725335775424
2,"1","cancelled","Covid19","1",0.126286608811329,0.0836465786392863,0.166942500406825
4,"1","cancelled","Covid19","1",0.181806648028609,0.124509786692413,0.235353689813337
5,"1","cancelled","Covid19","1",0.187898156769792,0.129092520979806,0.242733103498117
6,"1","cancelled","Covid19","1",0.275020030667989,0.19696104610734,0.345491332164071
8,"1","cancelled","Covid19","1",0.28615661235535,0.205466420718558,0.358652176104583
10,"1","cancelled","Covid19","1",0.28615661235535,0.205466420718558,0.358652176104583
14,"1","cancelled","Covid19","1",0.309279183701171,0.213513812643675,0.39338382067177
1,"2","success","Covid19","0",0.0613303620737667,0.00589569778959753,0.113673799413776
2,"2","success","Covid19","0",0.253520590849155,0.0809151560619114,0.393710480635745
3,"2","success","Covid19","0",0.377260473511274,0.133054246364752,0.552677297022018
4,"2","success","Covid19","0",0.481070205208372,0.182998618696446,0.670394520639827
5,"2","success","Covid19","0",0.515934645844122,0.199448899680649,0.707302548206376
6,"2","success","Covid19","0",0.576115460860733,0.229960763659912,0.766663704858341
8,"2","success","Covid19","0",0.633969509246555,0.259259885320331,0.819129114913473
10,"2","success","Covid19","0",0.662770685199652,0.27389455879999,0.843378655071411
12,"2","success","Covid19","0",0.662770685199652,0.27389455879999,0.843378655071411
1,"2","success","Covid19","1",0.0245329092397848,0.0052664997829629,0.0434261589173524
2,"2","success","Covid19","1",0.10840878377732,0.0513357108472968,0.162048254651357
3,"2","success","Covid19","1",0.169622734258601,0.0855233369855395,0.245987971757286
4,"2","success","Covid19","1",0.226973785057962,0.119492200549046,0.321335336995047
5,"2","success","Covid19","1",0.24778773893936,0.131261734809221,0.348683823008876
6,"2","success","Covid19","1",0.285975499472042,0.153426876959079,0.397770879468901
8,"2","success","Covid19","1",0.325934469409281,0.175652634893745,0.448819322092475
10,"2","success","Covid19","1",0.347269295963551,0.186991264640937,0.47594982260092
12,"2","success","Covid19","1",0.347269295963551,0.186991264640937,0.47594982260092
1,"2","cancelled","Covid19","0",0.010931750057095,0,0.027364806473009
2,"2","cancelled","Covid19","0",0.170215983120454,0.0490557740847826,0.275939118294681
3,"2","cancelled","Covid19","0",0.205779167907787,0.0622251855262986,0.327357996404225
