Inv_index,Tstart,Tstop,from,to,Inv_Line_Length_km,Inv_Technology,Capacity_MW,Voltage_kV,Inv_Element type,Project_Country_ISO3,Project_N_Countries,Project_Region,Project_Jurisdiction,Infr_Type,Inv_Element_Category,Inv_Environment,Covid19,NewDirective
987,2014.0,2015.0,2,3,220.0,DC,1250.0,320.0,OffshoreDCTransmissionCable,FRA;GBR,2.0,Extra-EU,Cross-border,New,Cable/Line,Offshore,0,0
987,2015.0,2026.0,3,3,220.0,DC,1250.0,320.0,OffshoreDCTransmissionCable,FRA;GBR,2.0,Extra-EU,Cross-border,New,Cable/Line,Offshore,1,0
988,2014.0,2015.0,1,2,,,,,,DEU;FRA,2.0,EU,Cross-border,,,,0,0
988,2015.0,2016.0,2,6,,,,,,DEU;FRA,2.0,EU,Cross-border,,,,0,0
989,2014.0,2015.0,1,2,,,,,,AUT;BEL;DEU;FRA,4.0,EU,Cross-border,,,,0,0
989,2015.0,2016.0,2,6,,,,,,AUT;BEL;DEU;FRA,4.0,EU,Cross-border,,,,0,0
990,2014.0,2020.0,2,6,158.0,AC,4310.0,380.0,Overhead Line,DEU,1.0,EU,Internal,New,Cable/Line,Onshore,0,0
992,2014.0,2015.0,2,3,,,1200.0,380.0,Phase Shift Transformer,DEU,1.0,EU,Internal,New,Nodal Infrastructure,Onshore,0,0
992,2015.0,2018.0,3,5,,,1200.0,380.0,Phase Shift Transformer,DEU,1.0,EU,Internal,New,Nodal Infrastructure,Onshore,0,0
995,2014.0,2016.0,1,2,300.0,DC,700.0,300.0,OffshoreDCTransmissionCable,DEU;SWE,2.0,EU,Cross-border,New,Cable/Line,Offshore,0,0
995,2016.0,2018.0,2,3,300.0,DC,700.0,300.0,OffshoreDCTransmissionCable,DEU;SWE,2.0,EU,Cross-border,New,Cable/Line,Offshore,0,0
995,2018.0,2026.0,3,1,300.0,DC,700.0,300.0,OffshoreDCTransmissionCable,DEU;SWE,2.0,EU,Cross-border,New,Cable/Line,Offshore,1,1
996,2015.0,2016.0,2,6,,,,,,DEU,1.0,EU,Internal,,,,0,0
997,2014.0,2016.0,1,2,60.0,AC,0.0,380.0,ACTransmissionLine,AUT;DEU,2.0,EU,Cross-border,New,Cable/Line,Onshore,0,0
