Inv_index,Duration,from,to,status,Inv_Line_Length_km,Inv_Technology,Capacity_MW,Voltage_kV,Inv_Element.type,Project_Country_ISO3,Project_N_Countries,Project_Region,Project_Jurisdiction,Infr_Type,Inv_Element_Category,Inv_Environment,Covid19,NewDirective
1405,2.0,1,6,2,,DC,3000.0,,Subsea Cable,LBY,1.0,Extra-EU,Cross-border,New,Cable/Line,Offshore,0,0
1406,2.0,1,6,2,,DC,,,Substation,IRL;GBR,2.0,Extra-EU,Cross-border,New,Nodal Infrastructure,Onshore,0,0
1407,2.0,2,3,1,325.0,DC,1040.0,500.0,OffshoreDCTransmissionCable,CYP;GRC;ISR,3.0,Extra-EU,Cross-border,New,Cable/Line,Offshore,0,0
1407,6.0,3,4,1,325.0,DC,1040.0,500.0,OffshoreDCTransmissionCable,CYP;GRC;ISR,3.0,Extra-EU,Cross-border,New,Cable/Line,Offshore,1,1
1407,2.0,4,4,0,325.0,DC,1040.0,500.0,OffshoreDCTransmissionCable,CYP;GRC;ISR,3.0,Extra-EU,Cross-border,New,Cable/Line,Offshore,1,1
1408,2.0,1,6,2,,DC,,,Substation,IRL;GBR,2.0,Extra-EU,Cross-border,New,Nodal Infrastructure,Onshore,0,0
1409,2.0,2,3,1,921.0,DC,1000.0,500.0,OffshoreDCTransmissionCable,CYP;GRC;ISR,3.0,Extra-EU,Cross-border,New,Cable/Line,Offshore,0,0
1409,6.0,3,4,1,921.0,DC,1000.0,500.0,OffshoreDCTransmissionCable,CYP;GRC;ISR,3.0,Extra-EU,Cross-border,New,Cable/Line,Offshore,1,1
1409,2.0,4,4,0,921.0,DC,1000.0,500.0,OffshoreDCTransmissionCable,CYP;GRC;ISR,3.0,Extra-EU,Cross-border,New,Cable/Line,Offshore,1,1
1411,2.0,1,6,2,,DC,,,Subsea Cable,IRL;GBR,2.0,Extra-EU,Cross-border,New,Cable/Line,Offshore,0,0
1412,2.0,1,6,2,,DC,,,Offshore Hub,IRL;GBR,2.0,Extra-EU,Cross-border,New,Nodal Infrastructure,Offshore,0,0
1413,2.0,1,6,2,,DC,,,Subsea Cable,IRL;GBR,2.0,Extra-EU,Cross-border,New,Cable/Line,Offshore,0,0
